# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
HO3C6O2                        133.16700000  6 13  3  0  0  0  0  0   1
HO3C6O                         117.16800000  6 13  2  0  0  0  0  0   0
HO3C6NO3                       163.17300000  6 13  4  1  0  0  0  0   0
HEXCOOH                        118.17600000  6 14  2  0  0  0  0  0   0
HEXCOH                         102.17700000  6 14  1  0  0  0  0  0   0
HO3C6OOH                       134.17500000  6 14  3  0  0  0  0  0   0
C2H5CO3                         89.07000000  3  5  3  0  0  0  0  0   1
C63O2                          147.15000000  6 11  4  0  0  0  0  0   1
C63O                           131.15100000  6 11  3  0  0  0  0  0   0
C63NO3                         177.15600000  6 11  5  1  0  0  0  0   0
C63OOH                         148.15800000  6 12  4  0  0  0  0  0   0
C63OH                          132.15900000  6 12  3  0  0  0  0  0   0
HO1CO24C6                      130.14300000  6 10  3  0  0  0  0  0   0
MEKCO2                         103.09700000  4  7  3  0  0  0  0  0   1
CO35C5CHO                      128.12700000  6  8  3  0  0  0  0  0   0
CO3C4CO3                       131.10700000  5  7  4  0  0  0  0  0   1
C5PAN16                        177.11200000  5  7  6  1  0  0  0  0   0
CO3C4CO3H                      132.11500000  5  8  4  0  0  0  0  0   0
CO3C4CO2H                      116.11600000  5  8  3  0  0  0  0  0   0
EGLYOX                          86.09000000  4  6  2  0  0  0  0  0   0
DIEKBO2                        117.12400000  5  9  3  0  0  0  0  0   1
CO3C5CO3                       145.13400000  6  9  4  0  0  0  0  0   1
C6PAN2                         191.13900000  6  9  6  1  0  0  0  0   0
CO3C5CO3H                      146.14200000  6 10  4  0  0  0  0  0   0
CO3C5CO2H                      130.14300000  6 10  3  0  0  0  0  0   0
M2PE                            86.17800000  6 14  0  0  0  0  0  0   0
M2PEAO2                        117.16800000  6 13  2  0  0  0  0  0   1
M2PEBO2                        117.16800000  6 13  2  0  0  0  0  0   1
M2PECO2                        117.16800000  6 13  2  0  0  0  0  0   1
M2PEDO2                        117.16800000  6 13  2  0  0  0  0  0   1
M2PEAO                         101.16900000  6 13  1  0  0  0  0  0   0
