#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
C519OOH                      134.130500000000             9.632289861847          4778.225269203136        0.05
C58NO3CO3                    210.118900000000            10.697512864892          5109.156634723922        0.05
C811OH                       158.195000000000            10.458730577109          5126.288990137389        0.05
INAHPCO3H                    227.126300000000            12.937218016498          6883.775504351123        0.05
C1312OOH                     258.310800000000            13.197935724229          7201.291795120540        0.05
C146OH                       254.322100000000            10.884420472603          5657.875612585213        0.05
NC72OOH                      233.132400000000            12.288646314775          5993.901776928333        0.05
C818CO                       172.178500000000            10.800072002011          5202.685125026418        0.05
H3C25CCO2H                   174.151300000000            11.292350171463          6017.320582814994        0.05
C146O2                       269.313500000000             8.926710887872          4525.000869733869        0.05
H3C25C6OOH                   162.140600000000             9.660598657714          4978.721341312695        0.05
C1310OOH                     274.310200000000            15.116837771220          8669.282948357473        0.05
MACRNCO2H                    165.101500000000            11.832264400182          5922.978381517081        0.05
BCBOCOO                      270.321500000000             9.828861831187          5029.840930282761        0.05
INANCO3H                     256.124400000000            13.094264550653          6639.898528961440        0.05
H3C25C6PAN                   235.148300000000            10.009027326948          5163.648449659344        0.05
C144O2                       271.329400000000            11.139180427328          5544.588676053335        0.05
H3C25C6OH                    146.141200000000             9.474545347156          4740.044983846661        0.05
C732OH                       160.167800000000            11.708551616135          6067.736736719968        0.05
INB1O                        180.136000000000            11.220399523200          5390.233001471059        0.05
NC6PAN1                      294.129300000000            10.955461132284          5531.866357321140        0.05
INCNCHO                      224.125600000000            10.347466973620          4960.991379053729        0.05
INANPAN                      301.122000000000            12.664470991994          6367.757840776003        0.05
INB1HPCO2H                   211.126900000000            14.209829980474          7733.969595368144        0.05
HIEB1O2                      165.121400000000            10.458044299990          5345.017469689919        0.05
C9DCOOH                      184.189200000000            10.933943210681          5216.138449710229        0.05
INB1NBCO3H                   256.124400000000            13.729414651428          6992.129505465149        0.05
NC61CO3H                     249.131800000000            12.063436883412          5887.575383221269        0.05
C517OOH                      134.130500000000            10.326934501413          5113.479522324562        0.05
C827CO2H                     186.205100000000            10.571542989724          5258.782120217538        0.05
C137CO3H                     270.321500000000            12.635003457606          6753.753734210802        0.05
C134OOH                      288.293700000000            14.325408933987          7856.397634650352        0.05
C734O                        175.159200000000            11.597707829000          5975.188254539512        0.05
C825CO                       172.178500000000            12.201058075759          6157.009925671396        0.05
C1215O                       243.276300000000            11.557208376247          5651.043125772091        0.05
NC524NO3                     242.140900000000            15.513362627942          8212.934599280639        0.05
NC102OOH                     261.228600000000            13.370117598302          6818.192352734833        0.05
NC730OOH                     223.180600000000            10.816346461571          5430.207000843408        0.05
C148O                        269.138800000000             9.151744795941          4602.038191750487        0.05
C518CO2H                     130.141800000000            10.412693753826          5179.755437002353        0.05
H13CO2CO3H                   150.086800000000             9.797615849723          5137.093972690898        0.05
C1213OH                      260.283600000000            15.237789246682          8323.063638675916        0.05
C516OOH                      164.113400000000            13.095287037084          6985.746110379990        0.05
NC623OOH                     209.154000000000            10.460796705519          5179.294782598524        0.05
C139O                        241.303400000000            12.125635655217          6288.301623510558        0.05
HMVKNO3                      165.101500000000            10.637556151772          5290.978318019856        0.05
C1213O2                      275.275100000000            13.692938442857          7119.034279973519        0.05
C133CO                       256.294900000000            12.777845800108          6631.572908195720        0.05
C151OOH                      302.363300000000            15.686795624812          8916.119518587315        0.05
NC728OOH                     223.180600000000            10.816346461571          5430.207000843408        0.05
C923CO3H                     200.231600000000             9.905351750919          4837.404576294503        0.05
C820OOH                      204.177300000000            12.211878118558          6356.355248118573        0.05
C235C6CO3H                   188.134800000000            10.497620266900          4999.176116439898        0.05
INB2OOH                      197.143300000000            12.769139636675          6690.629491843835        0.05
C719O2                       175.159200000000            10.704434226473          5227.697556299112        0.05
C128O                        227.276900000000            10.641199387252          5297.752109314000        0.05
C623NO3                      193.154600000000            10.274743400511          4940.618426721945        0.05
C1211O2                      243.276300000000            10.702715709917          5281.901239239597        0.05
INDOH                        181.143900000000            11.968775267745          6078.328293318402        0.05
BCLKCO                       253.314100000000             8.926710887872          4525.000869733869        0.05
INDO2                        196.135400000000            11.220399523200          5390.233001471059        0.05
C719OH                       160.167800000000            11.845160804450          6138.950930731702        0.05
C525O                        149.122000000000            10.467670350829          5454.542677809861        0.05
C145OOH                      304.336200000000            15.765674865170          9076.685169320683        0.05
