#Compound                    Mass               C   O   N   H   S  Cl  Br
MMALNACO2H                   193.111600000000   5   7   1   7   0   0   0
C625OOH                      164.156500000000   6   5   0  12   0   0   0
C1215NO3                     289.281800000000  12   7   1  19   0   0   0
BCAOH                        238.365700000000  15   2   0  26   0   0   0
BCAOO                        252.349300000000  15   3   0  24   0   0   0
INAHPAN                      256.124400000000   5  10   2   8   0   0   0
NC4CO2H                      161.112800000000   5   5   1   7   0   0   0
C736OOH                      158.151900000000   7   4   0  10   0   0   0
C108OH                       200.231600000000  10   4   0  16   0   0   0
BCLKAO                       253.314100000000  14   4   0  21   0   0   0
MMALNAPAN                    254.108500000000   5  10   2   6   0   0   0
C1212OOH                     260.283600000000  12   6   0  20   0   0   0
C144O                        255.330000000000  14   4   0  23   0   0   0
NORPINIC                     172.178500000000   8   4   0  12   0   0   0
INDO                         180.136000000000   5   6   1  10   0   0   0
LMLKBCO                      184.189200000000   9   4   0  12   0   0   0
C811PAN                      247.202000000000   9   7   1  13   0   0   0
C535OOH                      180.112800000000   5   7   0   8   0   0   0
C147OOH                      286.320900000000  14   6   0  22   0   0   0
C131CO2H                     254.322100000000  14   4   0  22   0   0   0
C148OOH                      286.141600000000  14   6   0  22   0   0   0
BCCOH                        238.365700000000  15   2   0  26   0   0   0
C917OH                       170.205700000000   9   3   0  14   0   0   0
C141CO3H                     268.348700000000  15   4   0  24   0   0   0
C141OOH                      240.338600000000  14   3   0  24   0   0   0
BCALO2                       285.356000000000  15   5   0  25   0   0   0
INB1NACO3H                   256.124400000000   5  10   2   8   0   0   0
C141OOA                      270.321500000000  14   5   0  22   0   0   0
C109OOH                      200.231600000000  10   4   0  16   0   0   0
INCCO                        179.128100000000   5   6   1   9   0   0   0
BCALAOH                      252.349300000000  15   3   0  24   0   0   0
C513OOH                      148.114000000000   5   5   0   8   0   0   0
C537O2                       181.034800000000   5   7   0   9   0   0   0
C146OOH                      270.321500000000  14   5   0  22   0   0   0
BCALCOH                      252.349300000000  15   3   0  24   0   0   0
C920OOH                      188.220900000000   9   4   0  16   0   0   0
BCALOH                       270.364500000000  15   4   0  26   0   0   0
C928CO2H                     200.231600000000  10   4   0  16   0   0   0
INAOOH                       197.143300000000   5   7   1  11   0   0   0
C1214O2                      243.276300000000  12   5   0  19   0   0   0
C46CO2H                      116.115200000000   5   3   0   8   0   0   0
C145O2                       303.328200000000  14   7   0  23   0   0   0
C728O                        161.175700000000   7   4   0  13   0   0   0
C812O2                       189.185800000000   8   5   0  13   0   0   0
C139OOH                      258.310800000000  13   5   0  22   0   0   0
C813O                        189.185800000000   8   5   0  13   0   0   0
C128CO                       226.268900000000  12   4   0  18   0   0   0
C732CO                       158.151900000000   7   4   0  10   0   0   0
BCLKACO                      252.306200000000  14   4   0  20   0   0   0
C721CO3H                     188.177900000000   8   5   0  12   0   0   0
HMACROH                      120.103900000000   4   4   0   8   0   0   0
C630OOH                      146.141200000000   6   4   0  10   0   0   0
C718CO2H                     172.178500000000   8   4   0  12   0   0   0
C137OOH                      242.311400000000  13   4   0  22   0   0   0
C1214OH                      228.284800000000  12   4   0  20   0   0   0
C142O2                       255.330000000000  14   4   0  23   0   0   0
C144OOH                      272.337400000000  14   5   0  24   0   0   0
BCLKCOH                      254.322100000000  14   4   0  22   0   0   0
C145O                        287.328800000000  14   6   0  23   0   0   0
C1311OOH                     242.311400000000  13   4   0  22   0   0   0
C127OH                       212.285400000000  12   3   0  20   0   0   0
C152O                        285.356000000000  15   5   0  25   0   0   0
HPC52CO3H                    198.128100000000   5   8   0  10   0   0   0
C136OOH                      226.312000000000  13   3   0  22   0   0   0
C129OH                       226.268900000000  12   4   0  18   0   0   0
BCLKCO2                      269.313500000000  14   5   0  21   0   0   0
C142OH                       240.338600000000  14   3   0  24   0   0   0
C824OOH                      174.194400000000   8   4   0  14   0   0   0
C131CO3H                     270.321500000000  14   5   0  22   0   0   0
C1313OOH                     258.310800000000  13   5   0  22   0   0   0
C143NO3                      301.335500000000  14   6   1  23   0   0   0
INB1HPCHO                    195.127500000000   5   7   1   9   0   0   0
C916OOH                      202.204500000000   9   5   0  14   0   0   0
BPINAOOH                     186.248100000000  10   3   0  18   0   0   0
C152NO3                      331.361500000000  15   7   1  25   0   0   0
C141CO2H                     252.349300000000  15   3   0  24   0   0   0
MMALNACO3H                   209.111000000000   5   8   1   7   0   0   0
NC91PAN                      290.226800000000  10   8   2  14   0   0   0
C128OOH                      244.284200000000  12   5   0  20   0   0   0
C58NO3PAN                    256.124400000000   5  10   2   8   0   0   0
C625O                        147.149100000000   6   4   0  11   0   0   0
C928CO3H                     216.231000000000  10   5   0  16   0   0   0
C917OOH                      186.205100000000   9   4   0  14   0   0   0
LIMALBOOH                    200.231600000000  10   4   0  16   0   0   0
APINCNO3                     215.246300000000  10   4   1  17   0   0   0
C734OH                       176.167200000000   7   5   0  12   0   0   0
C98OOH                       204.220300000000   9   5   0  16   0   0   0
C730OH                       162.183700000000   7   4   0  14   0   0   0
MVKOHAOH                     120.103900000000   4   4   0   8   0   0   0
PINALOOH                     200.231600000000  10   4   0  16   0   0   0
NC1313OH                     287.308900000000  13   6   1  21   0   0   0
MVKOHAOOH                    136.103300000000   4   5   0   8   0   0   0
INB1NACO2H                   240.125000000000   5   9   2   8   0   0   0
INANCOPAN                    299.106100000000   5  12   3   5   0   0   0
INB1NO3                      226.141500000000   5   8   2  10   0   0   0
C1211O                       227.276900000000  12   4   0  19   0   0   0
C734O2                       191.158600000000   7   6   0  11   0   0   0
C118OH                       230.257600000000  11   5   0  18   0   0   0
C126OOH                      212.285400000000  12   3   0  20   0   0   0
C819OOH                      190.193800000000   8   5   0  14   0   0   0
C126OOA                      226.268900000000  12   4   0  18   0   0   0
DNC524CO                     240.125000000000   5   9   2   8   0   0   0
C1213CO                      258.267700000000  12   6   0  18   0   0   0
C151O                        285.356000000000  15   5   0  25   0   0   0
C824OH                       158.195000000000   8   3   0  14   0   0   0
C924OOH                      188.220900000000   9   4   0  16   0   0   0
C133OH                       258.310800000000  13   5   0  22   0   0   0
C118O2                       245.249100000000  11   6   0  17   0   0   0
INB1CO                       179.128100000000   5   6   1   9   0   0   0
C137PAN                      315.319000000000  14   7   1  21   0   0   0
BCSOZOH                      286.363900000000  15   5   0  26   0   0   0
C106NO3                      245.229200000000  10   6   1  15   0   0   0
C127OOH                      228.284800000000  12   4   0  20   0   0   0
C730O2                       177.175100000000   7   5   0  13   0   0   0
C927OH                       172.221500000000   9   3   0  16   0   0   0
C57AOOH                      150.129900000000   5   5   0  10   0   0   0
C823CO3H                     202.204500000000   9   5   0  14   0   0   0
C925O2                       219.211800000000   9   6   0  15   0   0   0
C129OOH                      242.268300000000  12   5   0  18   0   0   0
BCKAOOH                      256.338000000000  14   4   0  24   0   0   0
C146O                        253.314100000000  14   4   0  21   0   0   0
C730NO3                      207.181200000000   7   6   1  13   0   0   0
HIEB1OOH                     166.129300000000   5   6   0  10   0   0   0
APINAOOH                     186.248100000000  10   3   0  18   0   0   0
INB1HPCO3                    226.118300000000   5   9   1   8   0   0   0
C116OOH                      214.258200000000  11   4   0  18   0   0   0
LIMONONIC                    184.232200000000  10   3   0  16   0   0   0
NORLIMOOH                    204.220300000000   9   5   0  16   0   0   0
C630OH                       130.141800000000   6   3   0  10   0   0   0
C929OH                       188.220900000000   9   4   0  16   0   0   0
C734CO                       174.151300000000   7   5   0  10   0   0   0
C525O2                       165.121400000000   5   6   0   9   0   0   0
NC101OOH                     245.229200000000  10   6   1  15   0   0   0
HIEB2OOH                     166.129300000000   5   6   0  10   0   0   0
C817OOH                      174.194400000000   8   4   0  14   0   0   0
C813OOH                      206.193200000000   8   6   0  14   0   0   0
C131OH                       226.312000000000  13   3   0  22   0   0   0
C98NO3                       233.218500000000   9   6   1  15   0   0   0
INB2O2                       196.135400000000   5   7   1  10   0   0   0
BCALCCO                      250.333400000000  15   3   0  22   0   0   0
C133O2                       273.302200000000  13   6   0  21   0   0   0
C51OOH                       134.130500000000   5   4   0  10   0   0   0
C2OHOCO2H                    106.077300000000   3   4   0   6   0   0   0
C811CO3H                     202.204500000000   9   5   0  14   0   0   0
C135O2                       301.269300000000  13   8   0  17   0   0   0
C129CO                       224.253000000000  12   4   0  16   0   0   0
INAHCO2H                     195.127500000000   5   7   1   9   0   0   0
C117OH                       214.258200000000  11   4   0  18   0   0   0
C524NO3                      163.128700000000   5   5   1   9   0   0   0
