#Compound                    Mass               C   O   N   H   S  Cl  Br
HIEB1O2                      165.121400000000   5   6   0   9   0   0   0
C618CO2H                     158.151900000000   7   4   0  10   0   0   0
NC4MDCO2H                    159.096900000000   5   5   1   5   0   0   0
C235C6CO3H                   188.134800000000   7   6   0   8   0   0   0
C719OH                       160.167800000000   7   4   0  12   0   0   0
C517CO3H                     162.140600000000   6   5   0  10   0   0   0
INB1HPPAN                    272.123800000000   5  11   2   8   0   0   0
HPC52OOH                     166.129300000000   5   6   0  10   0   0   0
KLIMONONIC                   186.205100000000   9   4   0  14   0   0   0
C58NO3CO3H                   211.126900000000   5   8   1   9   0   0   0
NC524OH                      197.143300000000   5   7   1  11   0   0   0
C5COOHCO3H                   174.108200000000   6   6   0   6   0   0   0
C722OOH                      176.167200000000   7   5   0  12   0   0   0
INB1NAPAN                    301.122000000000   5  12   3   7   0   0   0
HIEB2O                       149.122000000000   5   5   0   9   0   0   0
NBZQOOH                      203.106400000000   6   7   1   5   0   0   0
C718CO3H                     188.177900000000   8   5   0  12   0   0   0
C623OH                       148.157100000000   6   4   0  12   0   0   0
MNCATECO2                    250.139700000000   7   9   1   8   0   0   0
INDHPCO3H                    227.126300000000   5   9   1   9   0   0   0
INAHPAN                      256.124400000000   5  10   2   8   0   0   0
C825O                        173.186400000000   8   4   0  13   0   0   0
C513OH                       132.114600000000   5   4   0   8   0   0   0
INDO                         180.136000000000   5   6   1  10   0   0   0
LMLKBCO                      184.189200000000   9   4   0  12   0   0   0
NBZFUOOH                     179.085000000000   4   7   1   5   0   0   0
C109OOH                      200.231600000000  10   4   0  16   0   0   0
C537O2                       181.034800000000   5   7   0   9   0   0   0
C732CO                       158.151900000000   7   4   0  10   0   0   0
C916OOH                      202.204500000000   9   5   0  14   0   0   0
NCRES1OOH                    169.134800000000   1   4   1  79   0   0   0
NPTLQOOH                     217.133000000000   7   7   1   7   0   0   0
C97OH                        172.221500000000   9   3   0  16   0   0   0
PINALOOH                     200.231600000000  10   4   0  16   0   0   0
INANCOPAN                    299.106100000000   5  12   3   5   0   0   0
INB1NO3                      226.141500000000   5   8   2  10   0   0   0
DNC524CO                     240.125000000000   5   9   2   8   0   0   0
BZFUOOH                      134.087400000000   4   5   0   6   0   0   0
C925O2                       219.211800000000   9   6   0  15   0   0   0
C98NO3                       233.218500000000   9   6   1  15   0   0   0
NCATECO                      220.113700000000   6   8   1   6   0   0   0
C108NO3                      245.229200000000  10   6   1  15   0   0   0
C820O                        187.169900000000   8   5   0  11   0   0   0
CO235C6OOH                   160.124700000000   6   5   0   8   0   0   0
INAHCHO                      179.128100000000   5   6   1   9   0   0   0
C536O                        165.039900000000   5   6   0   9   0   0   0
C58OOH                       150.129900000000   5   5   0  10   0   0   0
INB1GLYOX                    177.112200000000   5   6   1   7   0   0   0
C926OOH                      202.204500000000   9   5   0  14   0   0   0
C922OOH                      220.219700000000   9   6   0  16   0   0   0
C622CO2H                     144.168400000000   7   3   0  12   0   0   0
INANCOCO3H                   254.108500000000   5  10   2   6   0   0   0
C623OOH                      164.156500000000   6   5   0  12   0   0   0
C519CO3H                     162.140600000000   6   5   0  10   0   0   0
LMKAOH                       172.221500000000   9   3   0  16   0   0   0
BPINCNO3                     215.246300000000  10   4   1  17   0   0   0
HIEB1OOH                     166.129300000000   5   6   0  10   0   0   0
MCATEC1OOH                   140.136600000000   1   3   0  80   0   0   0
BZBIPEROOH                   160.124700000000   6   5   0   8   0   0   0
C621O                        161.132700000000   6   5   0   9   0   0   0
C510OOH                      195.127500000000   5   7   1   9   0   0   0
C728OOH                      178.183100000000   7   5   0  14   0   0   0
INB1HPCO2H                   211.126900000000   5   8   1   9   0   0   0
MNCATECOOH                   251.147700000000   7   9   1   9   0   0   0
CRESOH                       174.151300000000   7   5   0  10   0   0   0
C516O                        147.106100000000   5   5   0   7   0   0   0
C58AOOH                      150.129900000000   5   5   0  10   0   0   0
DNPHENO2                     265.111300000000   6  10   2   5   0   0   0
NC71OOH                      219.148900000000   7   7   1   9   0   0   0
INDHCHO                      179.128100000000   5   6   1   9   0   0   0
C731CO2H                     172.178500000000   8   4   0  12   0   0   0
INDHPAN                      256.124400000000   5  10   2   8   0   0   0
NTLFUOOH                     193.111600000000   5   7   1   7   0   0   0
R_HOM_O6                     231.000000000000  10   6   0  15   0   0   0
R_HOM_O7                     247.000000000000  10   7   0  15   0   0   0
R_HOM_O8                     263.000000000000  10   8   0  15   0   0   0
R_HOM_O9                     279.000000000000  10   9   0  15   0   0   0
R_HOM_O10                    295.000000000000  10  10   0  15   0   0   0
R_HOM_O11                    311.000000000000  10  11   0  15   0   0   0
R_HOM_O12                    327.000000000000  10  12   0  15   0   0   0
R_HOM_O13                    343.000000000000  10  13   0  15   0   0   0
R_HOM_O14                    359.000000000000  10  14   0  15   0   0   0
HOM_O4CBN                    198.000000000000  10   4   0  14   0   0   0
HOM_O5CBN                    214.000000000000  10   5   0  14   0   0   0
HOM_O6CBN                    230.000000000000  10   6   0  14   0   0   0
HOM_O7CBN                    246.000000000000  10   7   0  14   0   0   0
HOM_O8CBN                    262.000000000000  10   8   0  14   0   0   0
