        LIMONIC      0.44      9.00      4.00      0.00        186.205       1.28e-12       3.70e+07
       PXYFUOOH      1.00      5.00      5.00      0.00        148.114       4.56e-12       1.32e+08
        C735OOH      0.71      7.00      5.00      0.00        174.151       3.06e-11       8.86e+08
       MACRNOOA      1.50      4.00      6.00      1.00        165.101       9.18e-08       2.66e+12
         BCKBCO      0.21     14.00      3.00      0.00        238.323       6.11e-11       1.77e+09
        C831OOH      0.50      8.00      4.00      0.00        174.194       3.60e-10       1.04e+10
         LIMAOH      0.20     10.00      2.00      0.00        170.249       1.16e-08       3.37e+11
         C132O2      0.38     13.00      5.00      0.00        257.303       4.22e-10       1.22e+10
         C825O2      0.62      8.00      5.00      0.00        189.186       2.11e-09       6.12e+10
     CO25C6CO2H      0.57      7.00      4.00      0.00        158.152       3.66e-10       1.06e+10
         C88PAN      0.78      9.00      7.00      1.00        245.186       6.22e-10       1.80e+10
           INAO      1.20      5.00      6.00      1.00        180.136       1.02e-09       2.97e+10
         C720OH      0.29      7.00      2.00      0.00        128.169       6.40e-08       1.86e+12
      MVKOHANO3      1.50      4.00      6.00      1.00        165.101       6.77e-12       1.96e+08
        C137CO3      0.36     14.00      5.00      0.00        269.313       3.60e-08       1.04e+12
         C829OH      0.50      8.00      4.00      0.00        174.194       3.63e-11       1.05e+09
         NC72O2      1.14      7.00      8.00      1.00        232.124       8.00e-09       2.32e+11
        C512PAN      1.17      6.00      7.00      1.00        205.122       1.16e-08       3.35e+11
      C1011CO3H      0.36     11.00      4.00      0.00        214.258       1.43e-09       4.15e+10
         C825OH      0.50      8.00      4.00      0.00        174.194       6.21e-14       1.80e+06
       HC4ACO2H      0.60      5.00      3.00      0.00        116.115       1.96e-09       5.68e+10
         C134OH      0.46     13.00      6.00      0.00        272.294       1.28e-17       3.71e+02
         C1313O      0.31     13.00      4.00      0.00        241.303       3.66e-11       1.06e+09
         C126OH      0.17     12.00      2.00      0.00        196.286       5.07e-09       1.47e+11
       LIMALACO      0.30     10.00      3.00      0.00        182.216       5.86e-08       1.70e+12
         C132OH      0.31     13.00      4.00      0.00        242.311       8.70e-14       2.52e+06
       C126CO2H      0.23     13.00      3.00      0.00        224.296       2.25e-11       6.54e+08
          C818O      0.50      8.00      4.00      0.00        173.186       3.95e-08       1.15e+12
         C126OO      0.33     12.00      4.00      0.00        226.269       6.42e-09       1.86e+11
        LIMBOOH      0.30     10.00      3.00      0.00        186.248       3.52e-10       1.02e+10
       C624CO2H      0.43      7.00      3.00      0.00        144.168       4.49e-10       1.30e+10
         C7PAN3      1.14      7.00      8.00      1.00        233.132       1.43e-10       4.15e+09
          C621O      0.83      6.00      5.00      0.00        161.133       1.78e-10       5.17e+09
         C109CO      0.30     10.00      3.00      0.00        182.216       2.13e-08       6.18e+11
       C918CO3H      0.40     10.00      4.00      0.00        200.232       1.70e-10       4.94e+09
       LMLKAOOH      0.56      9.00      5.00      0.00        202.204       5.89e-12       1.71e+08
         C1311O      0.23     13.00      3.00      0.00        225.304       3.34e-09       9.68e+10
         INAOOH      1.40      5.00      7.00      1.00        197.143       2.24e-15       6.51e+04
     H1C23C4OOH      1.25      4.00      5.00      0.00        134.087       1.22e-11       3.55e+08
      NOPINBNO3      0.44      9.00      4.00      1.00        199.204       3.13e-08       9.07e+11
        C811OOH      0.50      8.00      4.00      0.00        174.194       5.15e-12       1.49e+08
       C511CO3H      0.83      6.00      5.00      0.00        160.125       1.23e-08       3.56e+11
       C617CO2H      0.57      7.00      4.00      0.00        158.152       1.35e-09       3.91e+10
       INAHPCHO      1.40      5.00      7.00      1.00        195.127       3.18e-13       9.23e+06
