#Compound,Mass,parameter_A,parameter_B,Surface_tension,alpha_wall,density,Henrys_constant,parameter_C
NPHENOH,205.1223,11.104335567193,5462.79359535103,0.05,0.00005,1400,0,0
T124NCATO2,278.1929,11.228673065533,5812.47583590051,0.05,0.00005,1400,0,0
C1312NO3,287.3089,10.996749158294,5548.66433185047,0.05,0.00005,1400,0,0
NORLIMO,187.213,10.026494281942,4845.31845274006,0.05,0.00005,1400,0,0
C57NO3CO3H,211.1269,12.734236678726,6645.09914898717,0.05,0.00005,1400,0,0
NDNPBNZLO,336.1892,10.587574467389,5140.57380255694,0.05,0.00005,1400,0,0
C823OH,158.195,11.123793297297,5681.5798824718,0.05,0.00005,1400,0,0
C817CO3H,202.2045,10.374434805301,5223.56142578035,0.05,0.00005,1400,0,0
H13C43CO3H,150.1299,10.107695259901,5097.58152109569,0.05,0.00005,1400,0,0
NDNOXYOLO2,338.162,10.232024691982,4889.66157877155,0.05,0.00005,1400,0,0
C6CO2OHPAN,233.1324,9.179718166301,4672.40755467333,0.05,0.00005,1400,0,0
MACRNBCO3H,165.1015,10.563383875063,5197.12256212375,0.05,0.00005,1400,0,0
C811NO3,203.1925,10.693985954396,5049.93375397154,0.05,0.00005,1400,0,0
INDHCO3H,211.1269,12.13685363862,6271.47430326281,0.05,0.00005,1400,0,0
HIEB2O2,165.1214,9.753773634423,4900.23801556068,0.05,0.00005,1400,0,0
TM124MUCOH,202.2045,10.153203530001,5173.27244836606,0.05,0.00005,1400,0,0
C137OH,226.312,12.236479447015,6380.85010702686,0.05,0.00005,1400,0,0
C137O2,241.3034,10.11795739199,4895.74438525125,0.05,0.00005,1400,0,0
C151NO3,331.3615,13.553936045973,7263.49205010924,0.05,0.00005,1400,0,0
NPBFUOOH,221.1647,12.722876284039,6192.91183041234,0.05,0.00005,1400,0,0
NDNPHENOOH,311.1168,12.447005963676,6356.17116339081,0.05,0.00005,1400,0,0
C517CO2H,146.1412,11.353001841502,5816.82451315634,0.05,0.00005,1400,0,0
PXYMUCCO3H,186.162,9.698772467225,4715.83826164511,0.05,0.00005,1400,0,0
BZEMUCNO3,205.1223,10.175721659583,4952.6630932094,0.05,0.00005,1400,0,0
