#          Time_in_sec([])              CONDENS_SINK([])              CON_SIN_NITR([])
9.03000000000000000000e+04    1.00423747625508906367e+03    1.09518001039127034346e+03
9.06000000000000000000e+04    1.00438515495172248393e+03    1.09545925279165430766e+03
9.09000000000000000000e+04    1.00454837896043750334e+03    1.09539214008085764362e+03
9.12000000000000000000e+04    1.00472847814362592089e+03    1.09498089505820848899e+03
9.15000000000000000000e+04    1.00492694626854665785e+03    1.09423227433548527188e+03
9.18000000000000000000e+04    1.00514545999992174075e+03    1.09315737983573080783e+03
9.21000000000000000000e+04    1.00538590035773222553e+03    1.09177136605646501266e+03
9.24000000000000000000e+04    1.00565037692614259868e+03    1.09009305459996767240e+03
9.27000000000000000000e+04    1.00594125512666175837e+03    1.08814447063462262122e+03
9.30000000000000000000e+04    1.00626118689583950072e+03    1.08595031836009661674e+03
9.33000000000000000000e+04    1.00661314513408353832e+03    1.08353741411057649202e+03
9.36000000000000000000e+04    1.00700046231630312832e+03    1.08093409640277377548e+03
9.39000000000000000000e+04    1.00742687367540543164e+03    1.07816963203036425512e+03
9.42000000000000000000e+04    1.00789656538401663965e+03    1.07527363628544117091e+03
9.45000000000000000000e+04    1.00841422816548299579e+03    1.07227552365430983627e+03
9.48000000000000000000e+04    1.00898511675878535243e+03    1.06920400302721122898e+03
9.51000000000000000000e+04    1.00961511563931026103e+03    1.06608662873865614529e+03
9.54000000000000000000e+04    1.01031081135336171428e+03    1.06294941578678981386e+03
9.57000000000000000000e+04    1.01107957175284946061e+03    1.05981652453473679998e+03
9.60000000000000000000e+04    1.01192963231066153185e+03    1.05671001723045628751e+03
9.63000000000000000000e+04    1.01287018954873360599e+03    1.05364968592995683139e+03
9.66000000000000000000e+04    1.01391150141067805635e+03    1.05065294898051024575e+03
9.69000000000000000000e+04    1.01506499414908171275e+03    1.04773481119415782814e+03
9.72000000000000000000e+04    1.01634337496378361720e+03    1.04490788126377287881e+03
9.75000000000000000000e+04    1.01776074921094095771e+03    1.04218243886043637758e+03
9.78000000000000000000e+04    1.01933274049339365774e+03    1.03956654319072572434e+03
9.81000000000000000000e+04    1.02107661133201600023e+03    1.03706617455168247943e+03
9.84000000000000000000e+04    1.02301138139911950020e+03    1.03468540054864388367e+03
9.87000000000000000000e+04    1.02515793946626308752e+03    1.03242655907397875126e+03
9.90000000000000000000e+04    1.02753914428329289876e+03    1.03029045081456274602e+03
9.93000000000000000000e+04    1.03017990857397899163e+03    1.02827653489312729107e+03
9.96000000000000000000e+04    1.03310725922673100285e+03    1.02638312218750115790e+03
9.99000000000000000000e+04    1.03635036560907292369e+03    1.02460756185291188558e+03
1.00200000000000000000e+05    1.03994052678821367408e+03    1.02294641754543886236e+03
1.00500000000000000000e+05    1.04391110735919392027e+03    1.02139563076906767947e+03
1.00800000000000000000e+05    1.04829741064560130326e+03    1.01995066961435895792e+03
1.01100000000000000000e+05    1.05313647734110804777e+03    1.01860666190343351900e+03
1.01400000000000000000e+05    1.05846679731399626689e+03    1.01735851239249222999e+03
1.01700000000000000000e+05    1.06432792242430195984e+03    1.01620100420581570688e+03
1.02000000000000000000e+05    1.07075996893396381893e+03    1.01512888508674393506e+03
1.02300000000000000000e+05    1.07780299955327586758e+03    1.01413693935864375817e+03
1.02600000000000000000e+05    1.08549627747993395133e+03    1.01322004670275612170e+03
1.02900000000000000000e+05    1.09387738804502168932e+03    1.01237322899231685369e+03
1.03200000000000000000e+05    1.10298122784110569228e+03    1.01159168648658464917e+03
1.03500000000000000000e+05    1.11283886647813187665e+03    1.01087082469739345925e+03
1.03800000000000000000e+05    1.12347629233377074343e+03    1.01020627320691414752e+03
1.04100000000000000000e+05    1.13491306069998177009e+03    1.00959389764969796488e+03
1.04400000000000000000e+05    1.14716087035478631151e+03    1.00902980598453223138e+03
1.04700000000000000000e+05    1.16022210249645740987e+03    1.00851035008052463127e+03
1.05000000000000000000e+05    1.17408836377157604147e+03    1.00803212353388414613e+03
1.05300000000000000000e+05    1.18873908234135751627e+03    1.00759195652246580721e+03
1.05600000000000000000e+05    1.20414021204426126133e+03    1.00718690839832481743e+03
1.05900000000000000000e+05    1.22024310418783420573e+03    1.00681425861720617831e+03
