#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.14027777777800025660e+01  -1.04003836930499993230e+00  4.69499904076700005362e+01  6.23041095238100004622e-03  9.91460019184699945072e+02  2.96233016607500007376e+06  3.63108230836700007771e+00  1.29862325805486008429e-03
9.14097222222199974340e+01  -9.79971223021000037434e-01  4.61999840127899972231e+01  6.09225619047600031042e-03  9.91529990407699983734e+02  3.28000158392499992624e+06  5.42784940006700011850e+00  1.04423134994323998925e-02
9.14166666666699967436e+01  -8.20038369304500025514e-01  4.59400335731399991346e+01  5.95410142857099970726e-03  9.91729923261400017509e+02  3.59767300335300015286e+06  5.31647279831399988126e+00  1.49137329136331004548e-02
9.14236111111100058224e+01  -7.29999999999999982236e-01  4.52000111910500024237e+01  5.68536462963000008980e-03  9.91729976019199966686e+02  4.19770500223600026220e+06  4.75945449770100026399e+00  4.10433590485179966567e-02
9.14305555555600051321e+01  -4.40051159072100017688e-01  4.20200639488399971810e+01  5.41004386243399987971e-03  9.91610006394899983206e+02  4.79773700111799966544e+06  2.00000000000000000000e+00  6.76563130144506030828e-02
9.14375000000000000000e+01  2.09999999999999992228e-01  4.00900000000000034106e+01  5.13472309523799966963e-03  9.91470000000000027285e+02  5.39776900000000000000e+06  4.02430158900299961289e+00  8.44507097716770960272e-02
9.14444444444399948679e+01  8.00767386080999954423e-02  3.74599872102299968901e+01  5.06294811111100001577e-03  9.91479916866500047945e+02  5.41377349997000023723e+06  2.00000000000000000000e+00  1.65451342768729997568e-01
9.14513888888899941776e+01  5.30001598721200006814e-01  3.46301790567699967482e+01  5.00696547222199972449e-03  9.91200023980799983292e+02  5.42977799993999954313e+06  2.00000000000000000000e+00  1.69928089436197998774e-01
9.14583333333300032564e+01  6.39889688249700050449e-01  3.56499616306999982385e+01  4.93872746031800025773e-03  9.91370023980800056052e+02  5.44578249991100002080e+06  2.00000000000000000000e+00  1.99651375140282000276e-01
9.14652777777800025660e+01  4.10038369305300021139e-01  3.75602302158300034307e+01  4.62742455026500000559e-03  9.91170003197399978490e+02  5.25966500034699961543e+06  2.36061352617499986550e+00  1.88354652014123991055e-01
9.14722222222199974340e+01  7.19961630694699983302e-01  3.97799008792899968512e+01  4.31612164021099968536e-03  9.91019936051200033944e+02  5.07354749965300038457e+06  2.00000000000000000000e+00  2.31593369745177996011e-01
9.14791666666699967436e+01  7.99894484412699946496e-01  4.16802302158300008728e+01  4.01941150793700026356e-03  9.90949980815300023096e+02  4.88742999944499973208e+06  2.00000000000000000000e+00  2.30350368634402002943e-01
9.14861111111100058224e+01  1.44001119104800001658e+00  4.34599616306900031759e+01  4.31614100529100017806e-03  9.90909992006399988895e+02  4.78821033296400029212e+06  2.00000000000000000000e+00  3.26674103866387011141e-01
9.14930555555600051321e+01  1.23999360511600009715e+00  4.26099040767400012442e+01  4.61287050264600016064e-03  9.90660031974399998944e+02  4.68899066648199968040e+06  2.00000000000000000000e+00  3.24257870555227978304e-01
9.15000000000000000000e+01  1.21999999999999997335e+00  4.08200000000000002842e+01  4.90960000000000007514e-03  9.90470000000000027285e+02  4.58977100000000000000e+06  2.59007855412199994305e+00  4.03554657939873995254e-01
9.15069444444399948679e+01  1.42004476418800007487e+00  4.01798401279000003683e+01  4.87301600529100025633e-03  9.90440063948800002436e+02  4.47292433355099987239e+06  3.76188527512600012770e+00  4.85942270044621982272e-01
